,,Transmission,,
lambda,radius (nm),Fe3O4,Fe2O3,Fe
565,15,0.95316,0.92717,0.50882
565,20,0.92435,0.87024,0.36075
565,25,0.89431,0.80922,0.26736
565,30,0.86579,0.75315,0.20734
570,10,0.97723,0.97287,0.72397
570,15,0.9529,0.93231,0.5134
570,20,0.92407,0.87793,0.3647
570,25,0.89398,0.81891,0.2705
570,30,0.86537,0.76428,0.20982
575,10,0.97697,0.97538,0.72751
575,15,0.95253,0.93757,0.51772
575,20,0.92362,0.88597,0.36852
575,25,0.89345,0.82923,0.27356
575,30,0.86471,0.77626,0.21227
580,10,0.9767,0.97788,0.731
580,15,0.95215,0.94279,0.52201
580,20,0.92317,0.894,0.37232
580,25,0.89292,0.83959,0.27663
580,30,0.86406,0.78829,0.21472
585,10,0.97651,0.98003,0.73425
585,15,0.95188,0.94745,0.52594
585,20,0.92285,0.90134,0.37576
585,25,0.89254,0.84922,0.27938
585,30,0.86356,0.79958,0.2169
590,10,0.97632,0.98219,0.73747
590,15,0.95161,0.95211,0.52985
590,20,0.92254,0.90872,0.37919
590,25,0.89216,0.85895,0.28212
590,30,0.86308,0.81101,0.21908
595,10,0.97621,0.98382,0.74059
595,15,0.95147,0.95576,0.53368
595,20,0.92239,0.91467,0.38256
595,25,0.892,0.86693,0.28482
595,30,0.86285,0.82045,0.22122
600,10,0.97609,0.98546,0.74366
600,15,0.95133,0.95943,0.53747
600,20,0.92225,0.92064,0.38592
600,25,0.89184,0.87498,0.28752
600,30,0.86262,0.83002,0.22337
605,10,0.97597,0.98661,0.74666
605,15,0.95117,0.9621,0.54119
605,20,0.92207,0.92513,0.38922
605,25,0.89161,0.88115,0.29017
605,30,0.8623,0.8374,0.22548
610,10,0.97586,0.98776,0.7496
610,15,0.95102,0.96477,0.54487
610,20,0.92189,0.92963,0.39251
610,25,0.89139,0.88736,0.29282
610,30,0.86199,0.84487,0.22759
615,10,0.97588,0.98863,0.75245
615,15,0.9511,0.96683,0.54842
615,20,0.92205,0.93316,0.39565
615,25,0.89161,0.89228,0.29535
615,30,0.86221,0.85079,0.22959
620,10,0.9759,0.98949,0.75526
620,15,0.95119,0.96888,0.55194
620,20,0.92222,0.93668,0.3988
620,25,0.89183,0.8972,0.29787
620,30,0.86242,0.85675,0.23159
625,10,0.97585,0.9901,0.75807
625,15,0.95114,0.9704,0.55549
625,20,0.92218,0.93938,0.40199
625,25,0.89177,0.90107,0.30045
625,30,0.86231,0.86148,0.23364
630,10,0.97581,0.99071,0.76085
630,15,0.95109,0.97191,0.55902
630,20,0.92214,0.94207,0.40518
630,25,0.89172,0.90492,0.30302
630,30,0.8622,0.86623,0.23569
635,10,0.97621,0.99113,0.76342
635,15,0.95181,0.97302,0.56225
635,20,0.92315,0.9441,0.40805
635,25,0.89295,0.90789,0.30531
635,30,0.86357,0.8699,0.23749
640,10,0.9766,0.99156,0.76596
640,15,0.95252,0.97413,0.56546
640,20,0.92414,0.94612,0.41091
640,25,0.89417,0.91085,0.30761
640,30,0.86493,0.87358,0.2393
645,10,0.97725,0.99186,0.7686
645,15,0.95373,0.97495,0.56887
645,20,0.92591,0.94769,0.41402
645,25,0.89642,0.91318,0.31012
645,30,0.86754,0.8765,0.2413
650,10,0.9779,0.99215,0.7712
650,15,0.95492,0.97577,0.57226
650,20,0.92766,0.94923,0.41712
650,25,0.89864,0.91549,0.31264
650,30,0.87013,0.87941,0.2433
